Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Sales Method
Walmart,1128299,6/17/2021,Southeast,Florida,Orlando,Women's Apparel,103,218,2245,1257,Online
West Gear,1128299,7/16/2021,South,Louisiana,New Orleans,Women's Apparel,103,163,1679,806,Online
Sports Direct,1197831,8/25/2021,South,Alabama,Birmingham,Men's Street Footwear,10,700,7000,3150,Outlet
Sports Direct,1197831,8/27/2021,South,Alabama,Birmingham,Women's Street Footwear,15,575,8625,3881,Outlet
Sports Direct,1197831,8/21/2021,South,Alabama,Birmingham,Women's Street Footwear,15,475,7125,3206,Outlet
West Gear,1185732,1/11/2021,Midwest,Missouri,St. Louis,Women's Street Footwear,15,475,7125,2494,In-store
Sports Direct,1185732,11/17/2021,South,Mississippi,Jackson,Men's Athletic Footwear,20,450,9000,3150,Online
Sports Direct,1197831,1/23/2021,South,Mississippi,Jackson,Women's Street Footwear,15,450,6750,2700,Online
West Gear,1185732,4/3/2021,Midwest,Wisconsin,Milwaukee,Men's Street Footwear,20,450,9000,2700,In-store
Foot Locker,1185732,3/10/2020,Northeast,New York,New York,Men's Street Footwear,44,434,1910,993,Outlet
Foot Locker,1185732,1/18/2021,Midwest,Michigan,Detroit,Women's Street Footwear,20,425,8500,2975,In-store
West Gear,1185732,2/11/2021,Midwest,Missouri,St. Louis,Women's Street Footwear,15,425,6375,2231,In-store
West Gear,1185732,6/11/2021,West,Utah,Salt Lake City,Women's Street Footwear,20,425,8500,2975,In-store
Amazon,1185732,4/10/2021,Midwest,Ohio,Columbus,Women's Street Footwear,20,425,8500,3400,Online
Foot Locker,1185732,3/16/2021,South,Mississippi,Jackson,Women's Street Footwear,15,425,6375,2550,Online
Walmart,1185732,9/16/2021,South,Mississippi,Jackson,Women's Street Footwear,20,425,8500,3400,Online
Walmart,1197831,2/21/2021,South,Arkansas,Little Rock,Women's Apparel,20,425,8500,3400,Online
Walmart,1197831,10/21/2021,South,Arkansas,Little Rock,Men's Athletic Footwear,20,425,8500,2975,Online
Walmart,1185732,5/3/2020,Northeast,New York,New York,Men's Street Footwear,48,420,2016,1129,Outlet
Walmart,1185732,4/19/2020,Northeast,New York,New York,Men's Street Footwear,39,408,1591,875,Outlet
Walmart,1185732,4/27/2020,Northeast,New York,New York,Men's Street Footwear,46,403,1854,1038,Outlet
West Gear,1185732,3/10/2021,West,Utah,Salt Lake City,Women's Street Footwear,20,400,8000,2800,In-store
West Gear,1185732,6/11/2021,West,Utah,Salt Lake City,Women's Athletic Footwear,20,400,8000,3200,In-store
West Gear,1185732,10/11/2021,West,Utah,Salt Lake City,Men's Athletic Footwear,20,400,8000,2800,In-store
West Gear,1185732,11/11/2021,West,Utah,Salt Lake City,Men's Athletic Footwear,20,400,8000,2800,In-store
Walmart,1185732,9/16/2021,South,Mississippi,Jackson,Women's Athletic Footwear,20,400,8000,3200,Online
